,id,hour,source,number
0,39745,0.0,TruckSource1,1
1,39746,0.0,TruckSource2,1
2,39747,0.0,TruckSource3,1
3,39748,0.0,TruckSource4,1
4,39749,0.0,TruckSource5,1
5,39750,0.0,TruckSource6,1
6,39751,0.0,TruckSource7,1
7,39752,0.0,TruckSource8,1
8,39753,0.0,TruckSource9,1
9,39754,0.0,TruckSource10,1
10,39755,0.0,TruckSource11,1
11,39756,0.0,TruckSource12,1
12,39757,0.0,TruckSource13,1
13,39758,0.0,TruckSource14,1
14,39759,0.0,TruckSource15,1
15,39760,0.0,TruckSource16,1
16,39761,0.0,TruckSource17,1
17,39762,0.0,TruckSource18,1
18,39763,0.0,TruckSource19,1
19,39764,0.0,TruckSource20,1
20,39765,0.0,TruckSource21,1
21,39766,0.0,TruckSource22,1
22,39767,0.0,TruckSource23,1
23,39768,0.0,TruckSource24,1
24,39769,0.0,TruckSource25,1
25,39770,0.0,TruckSource26,1
26,39771,0.0,TruckSource27,1
27,39772,0.0,TruckSource28,1
28,39773,0.0,TruckSource29,1
29,39774,0.0,TruckSource30,1
30,39775,0.0,TruckSource31,1
31,39776,0.0,TruckSource32,1
32,39777,0.0,TruckSource33,1
33,39778,0.0,TruckSource34,1
34,39779,0.0,TruckSource35,1
35,39780,0.0,TruckSource36,1
36,39781,0.0,TruckSource37,1
37,39782,0.0,TruckSource38,1
38,39783,0.0,TruckSource39,1
39,39784,0.0,TruckSource40,1
40,39785,0.0,TruckSource41,1
41,39786,0.0,TruckSource42,1
42,39787,0.0,TruckSource43,1
43,39788,0.0,TruckSource44,1
44,39789,0.0,TruckSource45,1
45,39790,0.0,TruckSource46,1
46,39791,0.0,TruckSource47,1
47,39792,0.0,TruckSource48,1
48,39793,0.0,TruckSource49,1
49,39794,0.0,TruckSource50,1
50,39795,0.0,TruckSource51,1
51,39796,0.0,TruckSource52,1
52,39797,0.0,TruckSource53,1
53,39798,0.0,TruckSource54,1
54,39799,0.0,TruckSource55,1
55,39800,0.0,TruckSource56,1
56,39801,0.0,TruckSource57,1
57,39802,0.0,TruckSource58,1
58,39803,0.0,TruckSource59,1
59,39804,0.0,TruckSource60,1
60,39805,0.0,TruckSource61,1
61,39806,0.0,TruckSource62,1
62,39807,0.0,TruckSource63,1
63,39808,0.0,TruckSource64,1
64,39809,0.0,TruckSource65,1
65,39810,0.0,TruckSource66,1
66,39811,0.0,TruckSource67,1
67,39812,0.0,TruckSource68,1
68,39813,0.0,TruckSource69,1
69,39814,1.0,TruckSource1,6
70,39815,1.0,TruckSource2,6
71,39816,1.0,TruckSource3,4
72,39817,1.0,TruckSource4,3
73,39818,1.0,TruckSource5,7
74,39819,1.0,TruckSource6,7
75,39820,1.0,TruckSource7,6
76,39821,1.0,TruckSource8,5
